"patent_id";"patent_name";"publication_number";"publication_date";"application_number";"application_date";"grant_number";"grant_date";"priority_date";"inventors";"patent_holder";"classification";"brief_description";"claims_count";"cited_patents_count";"cited_by_count";"legal_status"
US1000003A;"""Fertilizer""";US1000003A;"";"""US61690911A""";"1911/3/25";US1000003A;"1911/8/8";"1911/3/25";"""Lemuel Holoway Horton""";"""Lemuel Holoway Horton""";A01C15/12||;"";"";"0";"2";US - Expired - Lifetime
US1000005A;"""Governor.""";US1000005A;"";"""US57194410A""";"1910/7/14";US1000005A;"1911/8/8";"1910/7/14";"""Harry V Hunt""";"""Harry V Hunt""";G01P3/443||;"";"";"0";"0";US - Expired - Lifetime
US10000061B2;"""Piezoelectric device, liquid ejecting head, and liquid ejecting apparatus""";US20170197414A1;"2017/7/13";"""US15/388,655""";"2016/12/22";US10000061B2;"2018/6/19";"2016/1/13";"""Yoichi Naganuma,Eiju Hirai,Yoshihiro HOKARI,Masao Nakayama,Takeshi Saito,Toshihiro Shimizu""";"""Seiko Epson Corp""";B41J2/14201||B41J2/14233||H01L41/0471||H01L41/081||H01L41/083||H01L41/277||H01L41/297||H01L41/332||H04R17/00||B41J2202/11||;"""A piezoelectric device includes a supporting body, a supporting layer that is stacked on the supporting body, a first electrode that is formed on a side opposite to the supporting body side of the supporting layer, a piezoelectric body that is formed on a side opposite to the supporting layer side of the first electrode, and a second electrode that is formed on a side opposite to the first electrode side of the piezoelectric body, in which the piezoelectric body is formed throughout an area covering the first electrode, the second electrode is formed throughout an area covering the piezoelectric body, and a recess portion which is recessed toward the supporting body is formed outside an area overlapping with the first electrode in the supporting layer.""";"21";"3";"0";JP - Active Active, US - Active Active
US10000063B2;"""Liquid containing member""";US20170173966A1;"2017/6/22";"""US15/383,279""";"2016/12/19";US10000063B2;"2018/6/19";"2015/12/21";"""Hiroyuki Kawate,Manabu Yamaguchi,Tadahiro Mizutani,Takuma OZAWA,Satoshi Oya,Hiroyoshi Ozeki""";"""Seiko Epson Corp""";B41J2/17506||B41J2/17513||B41J2/17553||B41J2/1404||B41J2/14072||B41J2/14112||B41J2/14129||B41J2/14145||B41J2002/17516||;"""A liquid containing member that can supply a liquid having a uniform concentration of a precipitating component to a liquid ejecting portion is provided. A liquid containing member includes: a liquid containing portion that can contain ink; a liquid supply port for supplying the ink contained in the liquid containing portion to a liquid ejection head; and a communication channel that is in communication with the liquid containing portion and the liquid supply port. The communication channel has a first end that is positioned at a lower end on the gravity direction side in the liquid containing portion and can suck the ink, and a second end that is positioned closer to the anti-gravity direction side than the first end is, and can suck the ink, in an in-use state in which the ink is supplied from the liquid supply port to the liquid ejection head.""";"13";"13";"6";JP - Active, CN - Active Active Active Active, ES - Active Active Active Active, US - Active, EP - Active Active Active Active
US10000064B2;"""Cartridge having contact parts for fastening cartridge to holder""";US20170297343A1;"2017/10/19";"""US15/485,582""";"2017/4/12";US10000064B2;"2018/6/19";"2016/4/15";"""Kiyoteru Katsuki,Tomohiro MIZUTA""";"""Seiko Epson Corp""";B41J2/17523||B41J2/1752||B41J2/17513||B41J2/1753||B41J2/17553||B41J2/185||B41J29/13||B41J2002/1856||;"""Technology enabling stably attaching a cartridge having a fluid supply port and a waste fluid inlet to a fluid ejection device. The cartridge has a bottom wall with a fluid supply port for supplying fluid to the fluid ejection device, and a waste fluid inlet for recovering waste fluid from the fluid ejection device, a first side wall having a first contact part capable of contacting a first fastening member of the cartridge holder when the cartridge is installed in the cartridge holder, and a second side wall having a second contact part capable of contacting a second fastening member of the cartridge holder when the cartridge is installed in the cartridge holder. When looking at the cartridge from the bottom wall side, an imaginary first line passing through the first contact part and the second contact part passes between the fluid supply port and the waste fluid inlet.""";"8";"21";"1";JP - Active, CN - Active Active Active, US - Active Active Active, EP - Active Active Active
US10000071B2;"""Ribbon feeding apparatus, and tape printing apparatus equipped with the same""";US20180022110A1;"2018/1/25";"""US15/548,608""";"2016/1/12";"";"2018/6/19";"2015/2/6";"""Taishi Sasaki""";"""Seiko Epson Corp""";B41J2/325||B41J17/14||B41J17/32||B41J23/02||B41J3/36||B41J3/4075||;"""An apparatus includes: a delivering-side gear train that transmits motive power to a delivering-side drive shaft; an winding-side gear train that transmits motive power to an winding-side drive shaft; a second clutch mechanism that connects the drive motor and the delivering-side gear train to each other in accordance with reverse rotation of the drive motor and disconnects the drive motor and the delivering-side gear train from each other in accordance with forward rotation of the drive motor; and a first clutch mechanism that is provided upstream of the second clutch mechanism, connects the drive motor and the winding-side gear train to each other in accordance with the forward rotation of the drive motor, and disconnects the drive motor and the winding-side gear train from each other in accordance with the reverse rotation of the drive motor.""";"4";"24";"2";JP - Active, EP - Active IP Right Grant Application Filing Active Active Active IP Right Grant, KR - Active IP Right Grant Application Filing Active Active Active IP Right Grant, WO - Active IP Right Grant Application Filing Active Active Active IP Right Grant, CN - Active IP Right Grant Application Filing Active Active Active IP Right Grant, US - Active
US10000078B2;"""Printer apparatus""";US20170217223A1;"2017/8/3";"""US15/500,978""";"2015/8/19";"";"2018/6/19";"2014/8/20";"""Tetsuhiro Ishikawa,Sumio Watanabe,Yukihiro Mori,Masahiro Tsuchiya""";"""Fujitsu Component Ltd""";B41J11/70||B41J13/106||B41J15/005||B41J2/32||B41J29/02||B41J29/13||B65H29/125||B65H29/58||B65H29/60||B65H35/0006||B41J15/04||B65H2301/51212||B65H2403/942||B65H2404/63||B65H2408/11||B65H2408/13||;"""A printer apparatus includes a printer main body having a platen roller and a print head to print on recording paper, a cutter unit configured to cut the recording paper, and a presenter unit connected to the cutter unit, wherein the recording paper on which the print head has printed enters the presenter unit through the cutter unit, and comes out from a discharge slot of the presenter unit, wherein the presenter unit includes a first roller and a second roller configured to convey the recording paper placed therebetween, and a flapper disposed along a transportation path of the recording paper between the cutter unit and both the first roller and the second roller, and configured to be flipped open to an outside of the presenter unit to expose the transportation path, wherein an angle at which the flapper is open is selectively set to one of a plurality of different angles.""";"7";"20";"0";JP - Active, CN - Expired - Fee Related Active Application Filing Withdrawn, US - Expired - Fee Related Active Application Filing Withdrawn, WO - Expired - Fee Related Active Application Filing Withdrawn, EP - Expired - Fee Related Active Application Filing Withdrawn
US1000007A;"""Animal""";US1000007A;"";"""US54944810A""";"1910/3/15";US1000007A;"1911/8/8";"1910/3/15";"""Jacob Jackson""";"""Jacob Jackson""";A01M23/26||;"";"";"0";"2";US - Expired - Lifetime
US1000008A;"""Spring""";US1000008A;"";"""US40623907A""";"1907/12/12";US1000008A;"1911/8/8";"1907/12/12";"""Robert C Jarvis""";"""Robert C Jarvis""";B60C7/14||;"";"";"0";"0";US - Expired - Lifetime
US10000098B2;"""Tire pressure measurement device, an integrated circuit, a printed circuit board, a method and a computer program for a vehicle to receive data""";US20170144495A1;"2017/5/25";"""US15/358,273""";"2016/11/22";"";"2018/6/19";"2015/11/25";"""Franz Michael Darrer,Walter Schuchter""";"""Infineon Technologies AG""";B60C23/0433||B60C23/0438||B60C23/044||B60C23/0461||B60C23/0486||H04B1/082||B60C2200/04||;"""Embodiments provide a tire pressure measurement device, an integrated circuit, a printed circuit board, a method and a computer program to receive data. The tire pressure measurement device includes a first receiver configured to receive a low frequency signal using a first low frequency input of the first receiver, and a second input configured to receive a receive signal associated with a second receiver that is different from the first receiver. The tire pressure measurement device further includes a controller configured to control the first low frequency input of the first receiver and to couple the second input to the first low frequency input of the first receiver in order for the first receiver to receive the receive signal at the first low frequency input.""";"19";"34";"4";DE - Pending, US - Active, CN - Active Active
