"patent_id";"serial_number";"event_type";"event_date";"event_code";"event_description"
US10000061B2;"0";Assignment;"2016/12/22";AS;"Owner name: SEIKO EPSON CORPORATION, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:NAGANUMA, YOICHI;HIRAI, EIJU;HOKARI, YOSHIHIRO;AND OTHERS;SIGNING DATES FROM 20161028 TO 20161102;REEL/FRAME:040754/0938"
US10000061B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000061B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000063B2;"0";Assignment;"2017/2/10";AS;"Owner name: SEIKO EPSON CORPORATION, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:KAWATE, HIROYUKI;YAMAGUCHI, MANABU;MIZUTANI, TADAHIRO;AND OTHERS;SIGNING DATES FROM 20170110 TO 20170116;REEL/FRAME:041225/0615"
US10000063B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000063B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000064B2;"0";Assignment;"2017/7/17";AS;"Owner name: SEIKO EPSON CORPORATION, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:KATSUKI, KIYOTERU;MIZUTA, TOMOHIRO;SIGNING DATES FROM 20170625 TO 20170706;REEL/FRAME:043026/0009"
US10000064B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000064B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000071B2;"0";Assignment;"2017/8/3";AS;"Owner name: SEIKO EPSON CORPORATION, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:SASAKI, TAISHI;REEL/FRAME:043189/0174 Effective date: 20170630"
US10000071B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000071B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000078B2;"0";Assignment;"2017/2/1";AS;"Owner name: FUJITSU COMPONENT LIMITED, JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:ISHIKAWA, TETSUHIRO;WATANABE, SUMIO;MORI, YUKIHIRO;AND OTHERS;REEL/FRAME:041144/0651 Effective date: 20170131"
US10000078B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000098B2;"0";Assignment;"2016/11/22";AS;"Owner name: INFINEON TECHNOLOGIES AG, GERMANY Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:DARRER, FRANZ MICHAEL;SCHUCHTER, WALTER;REEL/FRAME:040665/0569 Effective date: 20161005"
US10000098B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000098B2;"2";Maintenance fee payment;"2021/12/8";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000150B2;"0";Assignment;"2017/9/22";AS;"Owner name: KOITO MANUFACTURING CO., LTD., JAPAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:MURAMATSU, TAKAO;KIKUCHI, SATOSHI;REEL/FRAME:043666/0331 Effective date: 20170822"
US10000150B2;"1";Information on status: patent grant;"2018/5/30";STCF;Free format text: PATENTED CASE
US10000150B2;"2";Maintenance fee payment;"2021/12/1";MAFP;"Free format text: PAYMENT OF MAINTENANCE FEE, 4TH YEAR, LARGE ENTITY (ORIGINAL EVENT CODE: M1551); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY Year of fee payment: 4"
US10000175B2;"0";Assignment;"2016/12/2";AS;"Owner name: KEY SAFETY SYSTEMS, INC., MICHIGAN Free format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:COON, JEFFERY;REEL/FRAME:040492/0837 Effective date: 20161129"
